GO:0033088	GO:0033092
GO:0033087	GO:0033091
GO:0002698	GO:0002699
GO:0002838	GO:0002839
GO:0050777	GO:0050778
GO:0002683	GO:0002684
GO:0002641	GO:0002642
GO:0002890	GO:0002891
GO:0002638	GO:0002639
GO:0051025	GO:0051024
GO:0002862	GO:0002863
GO:0050728	GO:0050729
GO:0032339	GO:0032340
GO:0045755	GO:0045756
GO:0045824	GO:0045089
GO:0032961	GO:0032962
GO:0031586	GO:0031587
GO:0046627	GO:0046628
GO:0046676	GO:0032024
GO:0043569	GO:0043568
GO:0033624	GO:0033625
GO:0045720	GO:0045726
GO:0032480	GO:0032481
GO:0045355	GO:0045356
GO:0032687	GO:0032727
GO:0045358	GO:0045359
GO:0032688	GO:0032728
GO:0045077	GO:0045078
GO:0032689	GO:0032729
GO:0050723	GO:0050726
GO:0032690	GO:0032730
GO:0050712	GO:0050717
GO:0050724	GO:0050725
GO:0032691	GO:0032731
GO:0050713	GO:0050718
GO:0045361	GO:0045362
GO:0032692	GO:0032732
GO:0050711	GO:0050716
GO:0045081	GO:0045082
GO:0032693	GO:0032733
GO:0045364	GO:0045365
GO:0032694	GO:0032734
GO:0045083	GO:0045084
GO:0032695	GO:0032735
GO:0045367	GO:0045368
GO:0032696	GO:0032736
GO:0045370	GO:0045371
GO:0032697	GO:0032737
GO:0045373	GO:0045374
GO:0032698	GO:0032738
GO:0045376	GO:0045377
GO:0032699	GO:0032739
GO:0045379	GO:0045380
GO:0032700	GO:0032740
GO:0045382	GO:0045383
GO:0032701	GO:0032741
GO:0045385	GO:0045386
GO:0032702	GO:0032742
GO:0045085	GO:0045086
GO:0032703	GO:0032743
GO:0045388	GO:0045389
GO:0032704	GO:0032744
GO:0045391	GO:0045392
GO:0032705	GO:0032745
GO:0045394	GO:0045395
GO:0032706	GO:0032746
GO:0045397	GO:0045398
GO:0032707	GO:0032747
GO:0045532	GO:0045536
GO:0032708	GO:0032748
GO:0045533	GO:0045537
GO:0032709	GO:0032749
GO:0045534	GO:0045538
GO:0032710	GO:0032750
GO:0045535	GO:0045539
GO:0032711	GO:0032751
GO:0045400	GO:0045401
GO:0032712	GO:0032752
GO:0045403	GO:0045404
GO:0032713	GO:0032753
GO:0045406	GO:0045407
GO:0032714	GO:0032754
GO:0045409	GO:0045410
GO:0032715	GO:0032755
GO:0045412	GO:0045413
GO:0032716	GO:0032756
GO:0045415	GO:0045416
GO:0032717	GO:0032757
GO:0045418	GO:0045419
GO:0032718	GO:0032758
GO:0030843	GO:0030844
GO:0045825	GO:0045826
GO:0030840	GO:0030841
GO:0048396	GO:0048397
GO:0048401	GO:0048400
GO:0032384	GO:0032385
GO:0032378	GO:0032379
GO:0032381	GO:0032382
GO:0032387	GO:0032388
GO:0032413	GO:0032414
GO:0043271	GO:0043270
GO:0050943	GO:0050945
GO:0045827	GO:0045828
GO:0048297	GO:0048298
GO:0048300	GO:0048301
GO:0048294	GO:0048295
GO:0048303	GO:0048304
GO:0045829	GO:0045830
GO:0046426	GO:0046427
GO:0043508	GO:0043507
GO:0046329	GO:0046330
GO:0045968	GO:0045969
GO:0045970	GO:0045971
GO:0045928	GO:0045929
GO:0045972	GO:0045973
GO:0045617	GO:0045618
GO:0051548	GO:0051549
GO:0051711	GO:0051712
GO:0033673	GO:0033674
GO:0002257	GO:0002258
GO:0002037	GO:0002038
GO:0035204	GO:0035205
GO:0045710	GO:0045712
GO:0050949	GO:0050950
GO:0048375	GO:0048376
GO:0048380	GO:0048379
GO:0031276	GO:0031277
GO:0048776	GO:0048777
GO:0002695	GO:0002696
GO:0002689	GO:0002690
GO:0043301	GO:0043302
GO:0001911	GO:0001912
GO:0002704	GO:0002705
GO:0002686	GO:0002687
GO:0051352	GO:0051351
GO:0051055	GO:0046889
GO:0050995	GO:0050996
GO:0045833	GO:0045834
GO:0032369	GO:0032370
GO:0031665	GO:0031666
GO:0051005	GO:0051006
GO:0050748	GO:0050747
GO:0040013	GO:0040017
GO:0048579	GO:0048578
GO:0048171	GO:0048170
GO:0045715	GO:0045716
GO:0032804	GO:0032805
GO:0033685	GO:0033686
GO:0051350	GO:0051349
GO:0051250	GO:0051251
GO:0002912	GO:0002913
GO:0045620	GO:0045621
GO:0002707	GO:0002708
GO:0050672	GO:0050671
GO:0043018	GO:0043017
GO:0032721	GO:0032761
GO:0016242	GO:0016239
GO:0043031	GO:0043032
GO:0002617	GO:0002618
GO:0045650	GO:0045651
GO:0048092	GO:0048093
GO:0033600	GO:0033601
GO:0043407	GO:0043406
GO:0043409	GO:0043410
GO:0033007	GO:0033008
GO:0033004	GO:0033005
GO:0033026	GO:0033027
GO:0032764	GO:0032765
GO:0043305	GO:0043306
GO:0031495	GO:0031496
GO:0002906	GO:0002907
GO:0045632	GO:0045633
GO:0045653	GO:0045654
GO:0045835	GO:0045836
GO:0048022	GO:0048023
GO:0035009	GO:0035008
GO:0045635	GO:0045636
GO:0045837	GO:0045838
GO:0051045	GO:0051044
GO:0043381	GO:0043382
GO:0048335	GO:0048336
GO:0042662	GO:0048337
GO:0009892	GO:0009893
GO:0048553	GO:0048554
GO:0045344	GO:0045345
GO:0045347	GO:0045348
GO:0014007	GO:0014008
GO:0007026	GO:0031117
GO:0031111	GO:0031112
GO:0031115	GO:0031116
GO:0032424	GO:0032425
GO:0051902	GO:0051901
GO:0045839	GO:0045840
GO:0046603	GO:0046604
GO:0045841	GO:0045842
GO:0045950	GO:0045951
GO:0002614	GO:0002615
GO:0045656	GO:0045657
GO:0032945	GO:0032946
GO:0032769	GO:0032770
GO:0032772	GO:0032773
GO:0051514	GO:0051515
GO:0031441	GO:0031442
GO:0031438	GO:0031439
GO:0050686	GO:0050685
GO:0040015	GO:0040018
GO:0044252	GO:0044253
GO:0051241	GO:0051240
GO:0014745	GO:0014744
GO:0014736	GO:0014737
GO:0051148	GO:0051149
GO:0045932	GO:0045933
GO:0048635	GO:0048636
GO:0014740	GO:0014739
GO:0014741	GO:0014742
GO:0031642	GO:0031643
GO:0033033	GO:0033034
GO:0045638	GO:0045639
GO:0030886	GO:0030887
GO:0002608	GO:0002609
GO:0002734	GO:0002735
GO:0002762	GO:0002763
GO:0002887	GO:0002888
GO:0045662	GO:0045663
GO:0033671	GO:0033672
GO:0003080	GO:0003079
GO:0032815	GO:0032816
GO:0002728	GO:0002729
GO:0043322	GO:0043323
GO:0032827	GO:0032828
GO:0032824	GO:0032825
GO:0002859	GO:0002860
GO:0045953	GO:0045954
GO:0002856	GO:0002857
GO:0002716	GO:0002717
GO:0032821	GO:0032822
GO:0032818	GO:0032819
GO:0002872	GO:0002873
GO:0050925	GO:0050928
GO:0050925	GO:0050924
GO:0051395	GO:0051396
GO:0051387	GO:0051388
GO:0051961	GO:0051962
GO:0007406	GO:0002052
GO:0050768	GO:0050769
GO:0031645	GO:0031646
GO:0043524	GO:0043525
GO:0045665	GO:0045666
GO:0014043	GO:0014042
GO:0046929	GO:0001956
GO:0051589	GO:0051590
GO:0051581	GO:0051582
GO:0032900	GO:0032901
GO:0033030	GO:0033031
GO:0043314	GO:0043315
GO:0045659	GO:0045660
GO:0042347	GO:0042346
GO:0051534	GO:0051533
GO:0045019	GO:0045429
GO:0051774	GO:0051773
GO:0051001	GO:0051000
GO:0051771	GO:0051770
GO:0051172	GO:0051173
GO:0045847	GO:0045848
GO:0051134	GO:0051135
GO:0051137	GO:0051138
GO:0051141	GO:0051142
GO:0043072	GO:0043071
GO:0002620	GO:0002621
GO:0051622	GO:0051623
GO:0045746	GO:0045747
GO:0051784	GO:0051785
GO:0035056	GO:0035057
GO:0048025	GO:0048026
GO:0032074	GO:0032075
GO:0045934	GO:0045935
GO:0032240	GO:0032241
GO:0046823	GO:0046824
GO:0045978	GO:0045979
GO:0032243	GO:0032244
GO:0030809	GO:0030810
GO:0030812	GO:0030813
GO:0045980	GO:0045981
GO:0045849	GO:0045850
GO:0042486	GO:0042485
GO:0042489	GO:0042488
GO:0042483	GO:0042482
GO:0048715	GO:0048714
GO:0046621	GO:0046622
GO:0032891	GO:0032892
GO:0007319	GO:0046012
GO:0030279	GO:0045778
GO:0045668	GO:0045669
GO:0033689	GO:0033690
GO:0045671	GO:0045672
GO:0051354	GO:0051353
GO:0048347	GO:0048346
GO:0048351	GO:0048350
GO:0033248	GO:0033249
GO:0033245	GO:0033246
GO:0002792	GO:0002793
GO:0033140	GO:0033141
GO:0033137	GO:0033138
GO:0050732	GO:0050731
GO:0002918	GO:0002919
GO:0002909	GO:0002910
GO:0002850	GO:0002851
GO:0002659	GO:0002660
GO:0060101	GO:0060100
GO:0050765	GO:0050766
GO:0045936	GO:0045937
GO:0043553	GO:0043552
GO:0014067	GO:0014068
GO:0032515	GO:0032516
GO:0045942	GO:0045949
GO:0042326	GO:0042327
GO:0046533	GO:0046534
GO:0052323	GO:0052322
GO:0052321	GO:0052320
GO:0050941	GO:0050942
GO:0048086	GO:0048087
GO:0048550	GO:0048549
GO:0002549	GO:0002550
GO:0002611	GO:0002612
GO:0002737	GO:0002738
GO:0045614	GO:0045615
GO:0030861	GO:0030862
GO:0045855	GO:0045856
GO:0050928	GO:0050927
GO:0048581	GO:0048582
GO:0060149	GO:0060148
GO:0043267	GO:0043268
GO:0002701	GO:0002702
GO:0043069	GO:0043068
GO:0045786	GO:0045787
GO:0045976	GO:0045977
GO:0051447	GO:0051446
GO:0045930	GO:0045931
GO:0046001	GO:0046002
GO:0046003	GO:0046004
GO:0031393	GO:0031394
GO:0032307	GO:0032308
GO:0051201	GO:0051200
GO:0032435	GO:0032436
GO:0045857	GO:0045858
GO:0031953	GO:0031954
GO:0035308	GO:0035307
GO:0060051	GO:0060050
GO:0001933	GO:0001934
GO:0032091	GO:0032092
GO:0042177	GO:0045732
GO:0046826	GO:0046827
GO:0032463	GO:0032464
